Product_Name,Category,Order_Date,Customer_ID,City,Country,Quantity,Unit_Price,Discount,Total_Value
Portable SSD,Computing,2024-07-07,CUST-284026,Townsville,Australia,2,415.26,0,830.52
Bluetooth Headphones,Mobile,2025-05-12,CUST-303296,Gold Coast,Australia,3,184.23,0,552.69
External Hard Drive,Mobile,2023-03-21,CUST-878934,Geelong,Australia,3,380.12,0,1140.36
Fitness Tracker,Accessories,2025-03-16,CUST-655338,Townsville,Australia,1,564.75,0,564.75
Gaming Keyboard,Electronics,2023-09-25,CUST-025421,Melbourne,Australia,2,119.11,0,238.22
Smartphone Case,Mobile,2024-09-22,CUST-435705,Canberra,Australia,5,403.44,5,1916.34
USB Hub,Accessories,2025-05-20,CUST-589940,Canberra,Australia,3,125.01,0,375.03
Webcam HD,Accessories,2024-02-26,CUST-814897,Sydney,Australia,2,395.24,15,671.91
4K Monitor,Office,2023-02-20,CUST-221398,Adelaide,Australia,4,469.39,10,1689.8
Wireless Mouse,Electronics,2024-12-26,CUST-186309,Melbourne,Australia,4,545.94,0,2183.76
Gaming Mouse Pad,Accessories,2023-09-21,CUST-895714,Wollongong,Australia,5,72.69,10,327.11
Mechanical Keyboard,Office,2023-10-23,CUST-207632,Perth,Australia,2,476.87,0,953.74
LED Desk Lamp,Electronics,2023-09-06,CUST-921692,Perth,Australia,2,462.66,0,925.32
Noise Cancelling Headphones,Electronics,2023-06-03,CUST-616707,Perth,Australia,4,428.64,0,1714.56
Tablet 10in,Computing,2025-02-26,CUST-585428,Geelong,Australia,5,517.79,0,2588.95
LED Desk Lamp,Mobile,2023-08-22,CUST-073985,Hobart,Australia,4,183.27,20,586.46
4K Monitor,Gaming,2023-04-13,CUST-469199,Melbourne,Australia,1,568.73,0,568.73
Smartphone Case,Accessories,2025-02-26,CUST-769864,Hobart,Australia,4,322.48,0,1289.92
Wireless Earbuds,Computing,2025-01-18,CUST-724191,Melbourne,Australia,1,354.06,15,300.95
Gaming Mouse Pad,Mobile,2023-05-15,CUST-681378,Perth,Australia,5,590.25,0,2951.25
LED Desk Lamp,Office,2025-06-07,CUST-377986,Gold Coast,Australia,1,573.3,5,544.63
Portable SSD,Electronics,2023-12-28,CUST-948518,Newcastle,Australia,3,473.73,20,1136.95
Webcam HD,Gaming,2024-08-23,CUST-520907,Sydney,Australia,1,354.7,20,283.76
Gaming Mouse Pad,Computing,2024-10-18,CUST-192593,Perth,Australia,3,368.39,5,1049.91
Fitness Tracker,Gaming,2024-12-20,CUST-332072,Melbourne,Australia,2,359.54,0,719.08
Wireless Earbuds,Electronics,2023-02-21,CUST-078076,Sydney,Australia,1,291.12,0,291.12
External Hard Drive,Electronics,2023-11-08,CUST-781061,Sydney,Australia,4,305.11,0,1220.44
Bluetooth Headphones,Mobile,2024-05-21,CUST-862853,Perth,Australia,2,440.95,0,881.9
USB-C Charger,Mobile,2025-03-23,CUST-998554,Brisbane,Australia,1,563.3,0,563.3
Smartwatch,Computing,2025-05-12,CUST-752319,Perth,Australia,1,541.27,5,514.21
Tablet 10in,Mobile,2025-02-21,CUST-846168,Newcastle,Australia,3,32.98,0,98.94
Wireless Mouse,Mobile,2024-05-25,CUST-413664,Geelong,Australia,4,89.85,0,359.4
USB Hub,Office,2024-08-14,CUST-866964,Townsville,Australia,3,317.67,0,953.01
Bluetooth Headphones,Mobile,2023-12-10,CUST-684601,Wollongong,Australia,3,442.6,0,1327.8
Noise Cancelling Headphones,Electronics,2024-03-14,CUST-450510,Hobart,Australia,5,246.4,0,1232.0
External Hard Drive,Office,2024-01-04,CUST-224943,Hobart,Australia,2,39.12,0,78.24
Wireless Earbuds,Mobile,2023-04-23,CUST-440409,Melbourne,Australia,3,296.28,15,755.51
Tablet 10in,Mobile,2024-02-23,CUST-174122,Brisbane,Australia,4,28.26,5,107.39
Webcam HD,Mobile,2025-04-19,CUST-165243,Brisbane,Australia,3,529.24,20,1270.18
Smartphone Case,Gaming,2023-04-24,CUST-734028,Perth,Australia,2,248.88,20,398.21
USB-C Charger,Electronics,2024-06-06,CUST-396582,Hobart,Australia,2,442.55,20,708.08
Tablet 10in,Accessories,2024-09-03,CUST-811675,Townsville,Australia,1,552.32,5,524.7
Smartwatch,Accessories,2023-05-15,CUST-786194,Wollongong,Australia,3,422.8,20,1014.72
Noise Cancelling Headphones,Gaming,2023-04-24,CUST-005516,Brisbane,Australia,3,84.06,5,239.57
Portable SSD,Office,2024-02-26,CUST-986405,Hobart,Australia,2,378.2,0,756.4
Webcam HD,Computing,2024-10-04,CUST-967013,Hobart,Australia,4,419.64,10,1510.7
Gaming Mouse Pad,Office,2024-08-05,CUST-653088,Townsville,Australia,5,332.84,10,1497.78
Laptop Backpack,Gaming,2025-01-24,CUST-842557,Sydney,Australia,3,410.98,0,1232.94
Noise Cancelling Headphones,Electronics,2024-09-30,CUST-629366,Sydney,Australia,5,34.22,10,153.99
USB-C Charger,Accessories,2023-05-29,CUST-809914,Townsville,Australia,1,159.94,15,135.95
Mechanical Keyboard,Computing,2023-01-04,CUST-441802,Hobart,Australia,5,455.16,0,2275.8
Mechanical Keyboard,Accessories,2024-11-08,CUST-484567,Adelaide,Australia,5,314.73,10,1416.29
Wireless Mouse,Gaming,2025-03-20,CUST-615507,Hobart,Australia,1,364.36,0,364.36
Gaming Keyboard,Accessories,2025-01-30,CUST-246896,Hobart,Australia,5,281.99,20,1127.96
Tablet 10in,Gaming,2024-02-23,CUST-257540,Melbourne,Australia,4,573.79,10,2065.64
Portable SSD,Mobile,2024-03-02,CUST-837643,Hobart,Australia,3,403.73,0,1211.19
Tablet 10in,Computing,2025-03-27,CUST-590303,Adelaide,Australia,4,44.34,10,159.62
Laptop Backpack,Office,2024-02-15,CUST-400908,Townsville,Australia,5,371.36,0,1856.8
LED Desk Lamp,Computing,2023-02-10,CUST-592492,Sydney,Australia,1,537.27,0,537.27
USB-C Charger,Office,2025-03-17,CUST-717539,Geelong,Australia,5,311.84,5,1481.24
Noise Cancelling Headphones,Electronics,2024-11-01,CUST-229252,Brisbane,Australia,4,157.71,0,630.84
USB-C Charger,Gaming,2024-08-24,CUST-224947,Sydney,Australia,5,169.15,15,718.89
Wireless Mouse,Gaming,2025-05-08,CUST-203543,Hobart,Australia,2,485.01,20,776.02
Smartphone Case,Gaming,2024-08-31,CUST-777709,Geelong,Australia,1,228.91,0,228.91
Portable SSD,Gaming,2023-08-24,CUST-373009,Adelaide,Australia,3,68.49,0,205.47
USB Hub,Gaming,2024-03-08,CUST-698230,Perth,Australia,5,217.61,20,870.44
Laptop Stand,Computing,2024-04-17,CUST-739713,Sydney,Australia,1,149.39,0,149.39
Webcam HD,Electronics,2025-06-01,CUST-337877,Melbourne,Australia,4,469.36,0,1877.44
LED Desk Lamp,Electronics,2024-06-04,CUST-096481,Newcastle,Australia,5,526.45,0,2632.25
Gaming Mouse Pad,Computing,2023-03-21,CUST-405583,Canberra,Australia,1,84.02,0,84.02
Laptop Backpack,Computing,2024-11-11,CUST-375690,Perth,Australia,2,594.8,20,951.68
Mechanical Keyboard,Electronics,2024-12-18,CUST-388707,Perth,Australia,3,30.29,20,72.7
USB-C Charger,Accessories,2023-09-07,CUST-286822,Adelaide,Australia,5,325.17,20,1300.68
Wireless Earbuds,Gaming,2023-05-10,CUST-223042,Gold Coast,Australia,4,433.2,0,1732.8
Wireless Earbuds,Office,2025-01-08,CUST-593927,Brisbane,Australia,4,68.57,0,274.28
Smartphone Case,Gaming,2024-12-25,CUST-108570,Sydney,Australia,1,175.13,10,157.62
External Hard Drive,Accessories,2024-12-31,CUST-285352,Wollongong,Australia,4,30.45,0,121.8
Gaming Keyboard,Gaming,2023-04-25,CUST-127177,Sydney,Australia,5,181.04,0,905.2
Wireless Mouse,Accessories,2023-11-04,CUST-742973,Geelong,Australia,1,108.32,5,102.9
USB-C Charger,Gaming,2024-01-16,CUST-470291,Adelaide,Australia,1,59.32,0,59.32
Wireless Mouse,Computing,2025-03-22,CUST-790349,Hobart,Australia,4,409.78,5,1557.16
Bluetooth Headphones,Office,2023-07-01,CUST-262788,Canberra,Australia,1,81.99,0,81.99
Gaming Mouse Pad,Electronics,2024-06-18,CUST-569799,Geelong,Australia,5,30.13,10,135.59
USB Hub,Accessories,2023-03-03,CUST-994397,Brisbane,Australia,5,302.08,0,1510.4
LED Desk Lamp,Mobile,2024-11-16,CUST-110375,Hobart,Australia,4,226.08,5,859.1
USB Hub,Gaming,2024-08-03,CUST-793103,Perth,Australia,4,230.15,20,736.48
4K Monitor,Mobile,2024-10-14,CUST-124689,Geelong,Australia,4,537.97,5,2044.29
Gaming Keyboard,Accessories,2023-06-12,CUST-603672,Townsville,Australia,1,19.86,20,15.89
Wireless Earbuds,Mobile,2025-01-01,CUST-848057,Perth,Australia,3,363.58,0,1090.74
Portable SSD,Accessories,2024-12-31,CUST-868531,Geelong,Australia,2,511.02,10,919.84
Bluetooth Headphones,Computing,2023-05-27,CUST-536667,Brisbane,Australia,2,504.15,5,957.88
USB-C Charger,Accessories,2024-06-07,CUST-219651,Adelaide,Australia,4,69.25,0,277.0
Gaming Keyboard,Electronics,2024-07-23,CUST-537686,Perth,Australia,5,450.15,0,2250.75
Laptop Backpack,Computing,2024-01-29,CUST-420769,Newcastle,Australia,5,535.57,0,2677.85
Webcam HD,Electronics,2024-02-15,CUST-130934,Adelaide,Australia,1,588.89,15,500.56
Wireless Mouse,Accessories,2023-07-02,CUST-564196,Brisbane,Australia,2,382.5,5,726.75
Wireless Earbuds,Accessories,2025-05-15,CUST-268134,Geelong,Australia,4,253.7,15,862.58
Fitness Tracker,Mobile,2024-05-01,CUST-502856,Brisbane,Australia,4,150.24,0,600.96
Wireless Mouse,Gaming,2024-09-11,CUST-691405,Hobart,Australia,2,366.53,0,733.06
Noise Cancelling Headphones,Gaming,2024-04-19,CUST-185664,Adelaide,Australia,2,79.54,0,159.08
External Hard Drive,Office,2024-03-18,CUST-569632,Newcastle,Australia,3,295.99,10,799.17
Gaming Mouse Pad,Gaming,2024-01-13,CUST-854043,Sydney,Australia,2,77.16,0,154.32
